id,formattedAddress,addressLine1,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,lotSize,status,price,listingType,listedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,history,bedrooms,bathrooms,squareFootage,yearBuilt,has_hoa
"5946-Drake-Rd,-Greensboro,-NC-27406","5946 Drake Rd, Greensboro, NC 27406",5946 Drake Rd,Greensboro,NC,37,27406,Guilford,81,35.926377,-79.860019,Single Family,43560.0,Active,395000,Standard,2026-03-06T00:00:00.000Z,2026-03-06T00:00:00.000Z,2026-04-26T09:43:06.098Z,52,TriadMLS,1211314.0,"{'2026-03-06': {'event': 'Sale Listing', 'price': 395000, 'listingType': 'Standard', 'listedDate': '2026-03-06T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 52}}",3.0,2.0,1690.0,1970.0,0
"3743-Winborne-Ln,-Greensboro,-NC-27410","3743 Winborne Ln, Greensboro, NC 27410",3743 Winborne Ln,Greensboro,NC,37,27410,Guilford,81,36.134168,-79.862931,Townhouse,871.0,Active,227999,Standard,2026-03-08T00:00:00.000Z,2022-02-01T11:13:40.581Z,2026-04-26T09:43:06.098Z,50,TriadMLS,1211220.0,"{'2025-07-25': {'event': 'Sale Listing', 'price': 243500, 'listingType': 'Standard', 'listedDate': '2025-07-25T00:00:00.000Z', 'removedDate': '2025-11-14T00:00:00.000Z', 'daysOnMarket': 112}, '2026-03-08': {'event': 'Sale Listing', 'price': 227999, 'listingType': 'Standard', 'listedDate': '2026-03-08T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 50}}",3.0,3.5,1476.0,1997.0,1
"215-Marshall-St,-Greensboro,-NC-27401","215 Marshall St, Greensboro, NC 27401",215 Marshall St,Greensboro,NC,37,27401,Guilford,81,36.076197,-79.76632,Single Family,6098.0,Active,187000,Standard,2026-03-08T00:00:00.000Z,2025-09-26T00:00:00.000Z,2026-04-26T09:43:06.095Z,50,TriadMLS,1211356.0,"{'2025-09-25': {'event': 'Sale Listing', 'price': 99000, 'listingType': 'Standard', 'listedDate': '2025-09-25T00:00:00.000Z', 'removedDate': '2025-12-19T00:00:00.000Z', 'daysOnMarket': 85}, '2026-03-08': {'event': 'Sale Listing', 'price': 187000, 'listingType': 'Standard', 'listedDate': '2026-03-08T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 50}}",3.0,1.0,803.0,1962.0,0
"3917-W-Friendly-Ave,-Greensboro,-NC-27410","3917 W Friendly Ave, Greensboro, NC 27410",3917 W Friendly Ave,Greensboro,NC,37,27410,Guilford,81,36.089979,-79.853629,Single Family,23087.0,Active,559900,Standard,2026-03-11T00:00:00.000Z,2021-06-16T13:37:49.179Z,2026-04-26T09:43:06.095Z,47,TriadMLS,1211917.0,"{'2026-03-11': {'event': 'Sale Listing', 'price': 559900, 'listingType': 'Standard', 'listedDate': '2026-03-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 47}}",5.0,3.5,2440.0,1955.0,0
"3904-Riverdale-Dr,-Greensboro,-NC-27406","3904 Riverdale Dr, Greensboro, NC 27406",3904 Riverdale Dr,Greensboro,NC,37,27406,Guilford,81,36.013739,-79.77825,Single Family,10019.0,Active,289000,Standard,2026-03-07T00:00:00.000Z,2022-11-18T09:32:45.825Z,2026-04-26T09:43:06.093Z,51,TriadMLS,1210250.0,"{'2026-03-07': {'event': 'Sale Listing', 'price': 289000, 'listingType': 'Standard', 'listedDate': '2026-03-07T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 51}}",4.0,3.0,1713.0,2001.0,0
"4315-Hicone-Rd,-Greensboro,-NC-27405","4315 Hicone Rd, Greensboro, NC 27405",4315 Hicone Rd,Greensboro,NC,37,27405,Guilford,81,36.152005,-79.725742,Single Family,146797.0,Active,185000,Standard,2026-03-06T00:00:00.000Z,2026-03-07T00:00:00.000Z,2026-04-26T09:43:06.092Z,52,TriadMLS,1210884.0,"{'2026-03-06': {'event': 'Sale Listing', 'price': 185000, 'listingType': 'Standard', 'listedDate': '2026-03-06T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 52}}",2.0,1.0,1182.0,1961.0,0
"1702-Eastwood-Ave,-Greensboro,-NC-27401","1702 Eastwood Ave, Greensboro, NC 27401",1702 Eastwood Ave,Greensboro,NC,37,27401,Guilford,81,36.051109,-79.756974,Single Family,6098.0,Active,179000,Standard,2026-03-07T00:00:00.000Z,2024-04-30T00:00:00.000Z,2026-04-26T09:43:06.090Z,51,TriadMLS,1211474.0,"{'2024-11-28': {'event': 'Sale Listing', 'price': 195000, 'listingType': 'Standard', 'listedDate': '2024-11-28T00:00:00.000Z', 'removedDate': '2025-01-22T00:00:00.000Z', 'daysOnMarket': 55}, '2026-03-07': {'event': 'Sale Listing', 'price': 179000, 'listingType': 'Standard', 'listedDate': '2026-03-07T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 51}}",3.0,1.0,939.0,1962.0,0
"1013-N-Elm-St,-Apt-B6,-Greensboro,-NC-27401","1013 N Elm St, Apt B6, Greensboro, NC 27401",1013 N Elm St,Greensboro,NC,37,27401,Guilford,81,36.087353,-79.789473,Condo,436.0,Active,134900,Standard,2026-03-09T00:00:00.000Z,2023-08-18T00:00:00.000Z,2026-04-26T09:43:06.088Z,49,TriadMLS,1211347.0,"{'2026-03-09': {'event': 'Sale Listing', 'price': 134900, 'listingType': 'Standard', 'listedDate': '2026-03-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 49}}",1.0,1.0,621.0,1930.0,1
"116-Arcaro-Dr,-Greensboro,-NC-27455","116 Arcaro Dr, Greensboro, NC 27455",116 Arcaro Dr,Greensboro,NC,37,27455,Guilford,81,36.144502,-79.789158,Single Family,5227.0,Active,248000,Standard,2026-03-09T00:00:00.000Z,2026-03-10T00:00:00.000Z,2026-04-26T09:43:06.086Z,49,TriadMLS,1211651.0,"{'2026-03-09': {'event': 'Sale Listing', 'price': 248000, 'listingType': 'Standard', 'listedDate': '2026-03-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 49}}",3.0,2.0,1428.0,1989.0,1
"1013-N-Elm-St,-Apt-A2,-Greensboro,-NC-27401","1013 N Elm St, Apt A2, Greensboro, NC 27401",1013 N Elm St,Greensboro,NC,37,27401,Guilford,81,36.087093,-79.789488,Condo,436.0,Active,167500,Standard,2026-03-09T00:00:00.000Z,2021-07-18T09:09:05.867Z,2026-04-26T09:43:06.083Z,49,TriadMLS,1211344.0,"{'2026-03-09': {'event': 'Sale Listing', 'price': 167500, 'listingType': 'Standard', 'listedDate': '2026-03-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 49}}",2.0,1.0,800.0,1930.0,1
